Running with `allow_variable_horizon` set to True. Some algorithms are biased towards shorter or longer episodes, which may significantly confound results. Additionally, even unbiased algorithms can exploit the information leak from the termination condition, producing spuriously high performance. See https://imitation.readthedocs.io/en/latest/guide/variable_horizon.html for more information.
--------------------------------------
| mean/                   |          |
|    gen/rollout/ep_le... | 198      |
|    gen/rollout/ep_re... | 133      |
|    gen/time/episodes    | 962      |
|    gen/time/fps         | 2.9e+03  |
|    gen/time/time_ela... | 314      |
|    gen/time/total_ti... | 1.92e+05 |
|    gen/train/actor_loss | -1.83    |
|    gen/train/critic_... | 0.00251  |
|    gen/train/ent_coef   | 0.000468 |
|    gen/train/ent_coe... | -0.142   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 1.88e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.619    |
|    disc/disc_acc_expert | 0.499    |
|    disc/disc_acc_gen    | 0.739    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.675    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 9        |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 199      |
|    gen/rollout/ep_re... | 134      |
|    gen/time/episodes    | 1.09e+03 |
|    gen/time/fps         | 5.93e+03 |
|    gen/time/time_ela... | 326      |
|    gen/time/total_ti... | 2.18e+05 |
|    gen/train/actor_loss | -1.58    |
|    gen/train/critic_... | 0.00171  |
|    gen/train/ent_coef   | 0.000333 |
|    gen/train/ent_coe... | -0.148   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 2.14e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.538    |
|    disc/disc_acc_expert | 0.5      |
|    disc/disc_acc_gen    | 0.577    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.68     |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 10       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 199      |
|    gen/rollout/ep_re... | 137      |
|    gen/time/episodes    | 1.22e+03 |
|    gen/time/fps         | 1.55e+03 |
|    gen/time/time_ela... | 327      |
|    gen/time/total_ti... | 2.43e+05 |
|    gen/train/actor_loss | -1.5     |
|    gen/train/critic_... | 0.00155  |
|    gen/train/ent_coef   | 0.000292 |
|    gen/train/ent_coe... | -0.0477  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 2.39e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.521    |
|    disc/disc_acc_expert | 0.5      |
|    disc/disc_acc_gen    | 0.543    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.681    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 11       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 199      |
|    gen/rollout/ep_re... | 136      |
|    gen/time/episodes    | 1.35e+03 |
|    gen/time/fps         | 2e+03    |
|    gen/time/time_ela... | 322      |
|    gen/time/total_ti... | 2.69e+05 |
|    gen/train/actor_loss | -1.38    |
|    gen/train/critic_... | 0.0012   |
|    gen/train/ent_coef   | 0.000246 |
|    gen/train/ent_coe... | -0.148   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 2.65e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.465    |
|    disc/disc_acc_expert | 0.498    |
|    disc/disc_acc_gen    | 0.431    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.685    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 12       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 199      |
|    gen/rollout/ep_re... | 140      |
|    gen/time/episodes    | 1.48e+03 |
|    gen/time/fps         | 2.27e+03 |
|    gen/time/time_ela... | 317      |
|    gen/time/total_ti... | 2.94e+05 |
|    gen/train/actor_loss | -1.33    |
|    gen/train/critic_... | 0.00101  |
|    gen/train/ent_coef   | 0.000208 |
|    gen/train/ent_coe... | -0.0639  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 2.9e+05  |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.339    |
|    disc/disc_acc_expert | 0.497    |
|    disc/disc_acc_gen    | 0.18     |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.694    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 13       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 141      |
|    gen/time/episodes    | 1.61e+03 |
|    gen/time/fps         | 2.92e+03 |
|    gen/time/time_ela... | 319      |
|    gen/time/total_ti... | 3.2e+05  |
|    gen/train/actor_loss | -1.32    |
|    gen/train/critic_... | 0.000946 |
|    gen/train/ent_coef   | 0.000199 |
|    gen/train/ent_coe... | 0.039    |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 3.16e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.365    |
|    disc/disc_acc_expert | 0.496    |
|    disc/disc_acc_gen    | 0.234    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.692    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 14       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 199      |
|    gen/rollout/ep_re... | 142      |
|    gen/time/episodes    | 1.73e+03 |
|    gen/time/fps         | 2.95e+03 |
|    gen/time/time_ela... | 320      |
|    gen/time/total_ti... | 3.45e+05 |
|    gen/train/actor_loss | -1.29    |
|    gen/train/critic_... | 0.0009   |
|    gen/train/ent_coef   | 0.00018  |
|    gen/train/ent_coe... | -0.0732  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 3.42e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.481    |
|    disc/disc_acc_expert | 0.496    |
|    disc/disc_acc_gen    | 0.465    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.683    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 15       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 199      |
|    gen/rollout/ep_re... | 140      |
|    gen/time/episodes    | 1.86e+03 |
|    gen/time/fps         | 4.61e+03 |
|    gen/time/time_ela... | 310      |
|    gen/time/total_ti... | 3.71e+05 |
|    gen/train/actor_loss | -1.3     |
|    gen/train/critic_... | 0.000931 |
|    gen/train/ent_coef   | 0.000177 |
|    gen/train/ent_coe... | -0.113   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 3.67e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.45     |
|    disc/disc_acc_expert | 0.497    |
|    disc/disc_acc_gen    | 0.404    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.685    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 16       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 141      |
|    gen/time/episodes    | 1.99e+03 |
|    gen/time/fps         | 1.69e+04 |
|    gen/time/time_ela... | 307      |
|    gen/time/total_ti... | 3.96e+05 |
|    gen/train/actor_loss | -1.24    |
|    gen/train/critic_... | 0.000763 |
|    gen/train/ent_coef   | 0.000159 |
|    gen/train/ent_coe... | -0.0129  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 3.93e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.437    |
|    disc/disc_acc_expert | 0.497    |
|    disc/disc_acc_gen    | 0.378    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.686    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 17       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 140      |
|    gen/time/episodes    | 2.12e+03 |
|    gen/time/fps         | 1.59e+04 |
|    gen/time/time_ela... | 308      |
|    gen/time/total_ti... | 4.22e+05 |
|    gen/train/actor_loss | -1.21    |
|    gen/train/critic_... | 0.000695 |
|    gen/train/ent_coef   | 0.000142 |
|    gen/train/ent_coe... | -0.088   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 4.18e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.479    |
|    disc/disc_acc_expert | 0.497    |
|    disc/disc_acc_gen    | 0.461    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.681    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 18       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 139      |
|    gen/time/episodes    | 2.25e+03 |
|    gen/time/fps         | 1.97e+04 |
|    gen/time/time_ela... | 308      |
|    gen/time/total_ti... | 4.48e+05 |
|    gen/train/actor_loss | -1.14    |
|    gen/train/critic_... | 0.000579 |
|    gen/train/ent_coef   | 0.000124 |
|    gen/train/ent_coe... | -0.108   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 4.44e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.369    |
|    disc/disc_acc_expert | 0.497    |
|    disc/disc_acc_gen    | 0.241    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.687    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 19       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 141      |
|    gen/time/episodes    | 2.37e+03 |
|    gen/time/fps         | 1.99e+04 |
|    gen/time/time_ela... | 308      |
|    gen/time/total_ti... | 4.73e+05 |
|    gen/train/actor_loss | -1.09    |
|    gen/train/critic_... | 0.000443 |
|    gen/train/ent_coef   | 0.000109 |
|    gen/train/ent_coe... | -0.0384  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 4.7e+05  |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.525    |
|    disc/disc_acc_expert | 0.498    |
|    disc/disc_acc_gen    | 0.552    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.675    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 20       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 140      |
|    gen/time/episodes    | 2.5e+03  |
|    gen/time/fps         | 2.22e+04 |
|    gen/time/time_ela... | 310      |
|    gen/time/total_ti... | 4.99e+05 |
|    gen/train/actor_loss | -1.12    |
|    gen/train/critic_... | 0.000544 |
|    gen/train/ent_coef   | 0.000121 |
|    gen/train/ent_coe... | 0.0426   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 4.95e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.448    |
|    disc/disc_acc_expert | 0.498    |
|    disc/disc_acc_gen    | 0.399    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.68     |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 21       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 139      |
|    gen/time/episodes    | 2.63e+03 |
|    gen/time/fps         | 2.21e+04 |
|    gen/time/time_ela... | 321      |
|    gen/time/total_ti... | 5.25e+05 |
|    gen/train/actor_loss | -1.08    |
|    gen/train/critic_... | 0.00044  |
|    gen/train/ent_coef   | 0.000107 |
|    gen/train/ent_coe... | -0.065   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 5.21e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.368    |
|    disc/disc_acc_expert | 0.499    |
|    disc/disc_acc_gen    | 0.238    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.683    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 22       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 199      |
|    gen/rollout/ep_re... | 140      |
|    gen/time/episodes    | 2.76e+03 |
|    gen/time/fps         | 3.47e+03 |
|    gen/time/time_ela... | 328      |
|    gen/time/total_ti... | 5.51e+05 |
|    gen/train/actor_loss | -1.06    |
|    gen/train/critic_... | 0.000388 |
|    gen/train/ent_coef   | 0.000103 |
|    gen/train/ent_coe... | -0.074   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 5.46e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.522    |
|    disc/disc_acc_expert | 0.5      |
|    disc/disc_acc_gen    | 0.544    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.672    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 23       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 139      |
|    gen/time/episodes    | 2.89e+03 |
|    gen/time/fps         | 3.66e+03 |
|    gen/time/time_ela... | 330      |
|    gen/time/total_ti... | 5.76e+05 |
|    gen/train/actor_loss | -1.02    |
|    gen/train/critic_... | 0.000334 |
|    gen/train/ent_coef   | 9.53e-05 |
|    gen/train/ent_coe... | -0.023   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 5.72e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.448    |
|    disc/disc_acc_expert | 0.501    |
|    disc/disc_acc_gen    | 0.394    |
|    disc/disc_entropy    | 0.691    |
|    disc/disc_loss       | 0.676    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 24       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 138      |
|    gen/time/episodes    | 3.02e+03 |
|    gen/time/fps         | 3.86e+03 |
|    gen/time/time_ela... | 326      |
|    gen/time/total_ti... | 6.02e+05 |
|    gen/train/actor_loss | -1.01    |
|    gen/train/critic_... | 0.000315 |
|    gen/train/ent_coef   | 8.83e-05 |
|    gen/train/ent_coe... | -0.133   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 5.98e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.418    |
|    disc/disc_acc_expert | 0.502    |
|    disc/disc_acc_gen    | 0.334    |
|    disc/disc_entropy    | 0.69     |
|    disc/disc_loss       | 0.677    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 25       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 140      |
|    gen/time/episodes    | 3.15e+03 |
|    gen/time/fps         | 4.1e+03  |
|    gen/time/time_ela... | 326      |
|    gen/time/total_ti... | 6.28e+05 |
|    gen/train/actor_loss | -0.993   |
|    gen/train/critic_... | 0.00026  |
|    gen/train/ent_coef   | 8.03e-05 |
|    gen/train/ent_coe... | -0.0761  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 6.23e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.373    |
|    disc/disc_acc_expert | 0.503    |
|    disc/disc_acc_gen    | 0.244    |
|    disc/disc_entropy    | 0.69     |
|    disc/disc_loss       | 0.679    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 26       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 140      |
|    gen/time/episodes    | 3.27e+03 |
|    gen/time/fps         | 4.38e+03 |
|    gen/time/time_ela... | 325      |
|    gen/time/total_ti... | 6.53e+05 |
|    gen/train/actor_loss | -0.971   |
|    gen/train/critic_... | 0.000197 |
|    gen/train/ent_coef   | 6.9e-05  |
|    gen/train/ent_coe... | -0.0391  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 6.49e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.417    |
|    disc/disc_acc_expert | 0.504    |
|    disc/disc_acc_gen    | 0.329    |
|    disc/disc_entropy    | 0.69     |
|    disc/disc_loss       | 0.675    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 27       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 141      |
|    gen/time/episodes    | 3.4e+03  |
|    gen/time/fps         | 4.47e+03 |
|    gen/time/time_ela... | 327      |
|    gen/time/total_ti... | 6.79e+05 |
|    gen/train/actor_loss | -0.982   |
|    gen/train/critic_... | 0.000204 |
|    gen/train/ent_coef   | 6.78e-05 |
|    gen/train/ent_coe... | 0.00397  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 6.74e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.513    |
|    disc/disc_acc_expert | 0.505    |
|    disc/disc_acc_gen    | 0.52     |
|    disc/disc_entropy    | 0.69     |
|    disc/disc_loss       | 0.67     |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 28       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 139      |
|    gen/time/episodes    | 3.53e+03 |
|    gen/time/fps         | 4.81e+03 |
|    gen/time/time_ela... | 324      |
|    gen/time/total_ti... | 7.04e+05 |
|    gen/train/actor_loss | -0.98    |
|    gen/train/critic_... | 0.000196 |
|    gen/train/ent_coef   | 6.74e-05 |
|    gen/train/ent_coe... | 0.0394   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 7e+05    |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.508    |
|    disc/disc_acc_expert | 0.507    |
|    disc/disc_acc_gen    | 0.508    |
|    disc/disc_entropy    | 0.69     |
|    disc/disc_loss       | 0.668    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 29       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 138      |
|    gen/time/episodes    | 3.66e+03 |
|    gen/time/fps         | 4.98e+03 |
|    gen/time/time_ela... | 322      |
|    gen/time/total_ti... | 7.3e+05  |
|    gen/train/actor_loss | -0.983   |
|    gen/train/critic_... | 0.000196 |
|    gen/train/ent_coef   | 7.03e-05 |
|    gen/train/ent_coe... | 0.0379   |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 7.26e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.498    |
|    disc/disc_acc_expert | 0.51     |
|    disc/disc_acc_gen    | 0.486    |
|    disc/disc_entropy    | 0.69     |
|    disc/disc_loss       | 0.668    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 30       |
|    disc/n_expert        | 1.5e+04  |
|    disc/n_generated     | 1.5e+04  |
|    gen/rollout/ep_le... | 200      |
|    gen/rollout/ep_re... | 138      |
|    gen/time/episodes    | 3.79e+03 |
|    gen/time/fps         | 5.04e+03 |
|    gen/time/time_ela... | 327      |
|    gen/time/total_ti... | 7.55e+05 |
|    gen/train/actor_loss | -0.97    |
|    gen/train/critic_... | 0.000171 |
|    gen/train/ent_coef   | 6.7e-05  |
|    gen/train/ent_coe... | -0.0879  |
|    gen/train/learnin... | 0.0003   |
|    gen/train/n_updates  | 7.51e+05 |
--------------------------------------
--------------------------------------
| mean/                   |          |
|    disc/disc_acc        | 0.495    |
|    disc/disc_acc_expert | 0.515    |
|    disc/disc_acc_gen    | 0.475    |
|    disc/disc_entropy    | 0.69     |
|    disc/disc_loss       | 0.668    |
|    disc/disc_proport... | 0.5      |
|    disc/global_step     | 31       |
|    disc/n_expert        | 1.5e+04  |
